Report ID,Report Version,Reporting Entity,Report_Type_1 Day Update,Report_Type_5 Day Update,Report_Type_10 Day Update,Report_Type_Monthly Report,"Report_Type_Updated, but no time indicated",Report Month,Report Year,Submission Year,Submission Month,VIN,VIN - Unknown,Make,Model,Model Year,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type_Consumer,Driver / Operator Type_In-Vehicle,Driver / Operator Type_Remote,Driver / Operator Type_None or Other,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged_ADAS,Automation System Engaged_ADS,"Automation System Engaged_Unknown, see Narrative",Operating Entity,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Year,Incident Month,Incident Date - Unknown,Notice Received Year,Notice Received Month,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,City,City - Unknown,State,Roadway Type_Highway / Freeway,Roadway Type_Intersection,Roadway Type_Parking Lot,Roadway Type_Street,Roadway Type_Traffic Circle,Roadway Type_Unknown,Roadway Surface_Dry,Roadway Surface_Snow / Slush / Ice,Roadway Surface_Unknown,Roadway Surface_Wet,Roadway Description_No Unusual Conditions,Roadway Description_Traffic Incident,Roadway Description_Work Zone,"Roadway Description_Other, Unknown or Missing",Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting_Dark - Lighted,Lighting_Dark - Not Lighted,Lighting_Dawn / Dusk,Lighting_Daylight,Lighting_Other or Unknown,Lighting_Dark - Unknown Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged_Minor,Highest Injury Severity Alleged_Moderate,Highest Injury Severity Alleged_No Injuries Reported,Highest Injury Severity Alleged_Serious,Highest Injury Severity Alleged_Unknown,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30270-6347,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S13M1,0,Jaguar,I-Pace,2021.0,ee70d1945e4b3b0,14314.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,16:38,0,e44896eb7f3d084,Santa Monica,0,CA ,0,0,0,0,1,0,1,0,0,0,1,0,0,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Passenger Car,0,0,1,0,0,1,"Other, see Narrative",0,0,0,0,1,0,0,0,0,0,0,0,0,"Other, see Narrative",0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 4:39 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was traversing a roundabout at the intersection of [XXX] at [XXX] when it slowed to a stop for other vehicles approaching and in the roundabout. The front of the passenger car that was in the roundabout behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6346,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S19M1,0,Jaguar,I-Pace,2021.0,f0f7a440e0d08c2,54905.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,21:55,0,abaaba07ac5d811,San Francisco,0,CA ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Heavy Truck,0,0,1,0,0,1,Backing,0,0,0,0,0,0,0,0,0,1,0,0,0,Stopped,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 9:54 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] at [XXX].
The Waymo AV was traveling northbound on [XXX] when it approached a heavy truck and trailer that was stopped in the adjacent lane on the left side of the street. As the Waymo began to slowly pass the truck, the truck initiated a reversing turn maneuver into a loading bay on the left side of [XXX]. The Waymo AV then came to a stop, and as the Waymo AV was initiating its own reversing maneuver to clear the path for the truck, the right side of the trailer made contact with the front driver's side corner of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6344,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S14M1,0,Jaguar,I-Pace,2021.0,71efe539834c36e,68966.0,0,0,1,0,0,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,Transdev Alternative Services,0,0,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,17:48,0,1760af8f89bba3e,San Francisco,0,CA ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Non-Motorist: Cyclist,0,0,1,0,0,1,Proceeding Straight,0,0,0,0,0,0,0,0,0,0,0,0,0,Stopped,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 5:49 PM PT the mirror of a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, CA was struck by a cyclist on [XXX]. Drive at [XXX].
The Waymo AV was stopped in traffic on eastbound [XXX] Drive at the intersection with [XXX], when a cyclist that had been traveling behind the Waymo AV passed the Waymo AV on the left. As the cyclist passed the Waymo AV, the cyclist made contact with the driver side mirror of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage and the cyclist did not stop, leaving the scene without exchanging information.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6343,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S19M1,0,Jaguar,I-Pace,2021.0,778fffc33261129,46766.0,0,0,1,0,0,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,Transdev Alternative Services,0,0,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,16:45,0,1a3b3cd2f637988,San Francisco,0,CA ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Passenger Car,0,0,1,0,0,1,Proceeding Straight,0,0,0,0,0,0,0,1,0,0,0,0,0,Stopped,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 4:45 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV entered the slip lane which connects westbound [XXX] to northbound [XXX] and came to a stop to yield to cross-traffic on [XXX]. As the Waymo AV was stopped, the front of the passenger car which was traveling behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6342,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S18M1,0,Jaguar,I-Pace,2021.0,0b5307ab029c107,50153.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,13:05,0,f95b4d1b403e689,San Francisco,0,CA ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,35.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,SUV,0,0,1,0,0,1,Changing Lanes,0,0,0,0,0,0,0,0,0,0,1,0,0,Proceeding Straight,0,0,0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 1:05 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX].
The Waymo AV was traveling northbound on [XXX]. As the SUV was passing the Waymo AV to the left, it initiated a right lane change. The front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the SUV left the scene without exchanging information.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6341,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S12M1,0,Jaguar,I-Pace,2021.0,4695a335f999808,,1,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,1,1,0,0,0,0,0,,2023,8,0,2023,8,18:11,0,5e644a30ee794ee,San Francisco,0,CA ,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,"Other, see Narrative",0,0,1,0,0,1,"Other, see Narrative",0,0,0,0,0,0,0,0,0,1,0,0,0,Stopped,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023, Waymo received notice of an allegation that a Waymo Autonomous Vehicle (""Waymo AV"")  contributed to a low-speed collision between a fire engine and an SUV on [XXX] at [XXX].
On August 16th, 2023 at 6:11 PM PT, a Waymo AV operating in San Francisco, California was stopped at a red light in the dedicated left turn lane on the left side of northeast-bound [XXX] at the intersection with [XXX]. While the light was red, a fire engine approached the Waymo AV from behind and the Waymo AV moved forward as far as possible before entering the intersection at [XXX]. After the light turned green and as the Waymo AV was calculating a path into the intersection to clear the way, the fire engine maneuvered around the Waymo AV on the right side. During this maneuver, the right side of the fire engine appears to have made contact with the front left corner of an SUV that was stopped in the through lane to the right of the Waymo AV. The fire engine then proceeded through the intersection, and shortly afterwards, another fire engine and a fire department SUV passed on the left side the Waymo AV of the stopped Waymo AV. The Waymo AV then proceeded through the intersection.
At the time of the collision, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6340,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S15M1,0,Jaguar,I-Pace,2021.0,a96a4dfc1ceef90,70925.0,0,0,1,0,0,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,Transdev Alternative Services,0,0,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,21:01,0,3cad4d71a6699b8,San Francisco,0,CA ,0,1,0,0,0,0,1,0,0,0,1,0,0,0,25.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,Passenger Car,0,0,1,0,0,1,Making Left Turn,0,0,1,0,0,0,0,0,0,0,0,0,0,Proceeding Straight,0,0,0,13.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 9:01 PM a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was traveling southwestbound on [XXX] in the second lane from the left as it was approaching [XXX]. As the Waymo AV was proceeding straight through the intersection, the passenger car in the right adjacent lane made a left turn from a straight-only lane onto southeastbound [XXX]. The rear of the passenger car made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both the Waymo AV and the passenger car sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6339,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S15M1,0,Jaguar,I-Pace,2021.0,d1bf148fd6c821c,97990.0,0,0,1,0,0,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,Transdev Alternative Services,0,0,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,19:38,0,467edb2f2766c58,Los Angeles,0,CA ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,"Other, see Narrative",0,0,1,0,0,1,"Other, see Narrative",0,0,0,0,0,0,0,0,0,0,0,0,1,Parking Maneuver,0,0,0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 7:38 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a recycling bin on [XXX] at [XXX]. 
The Waymo AV was pulling over to the right side of the road, when the test driver transitioned to manual mode and made contact with a recycling bin on the right side of the street. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6338,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S19M1,0,Jaguar,I-Pace,2021.0,9d9fb23eadb6334,50308.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,ADOT,1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,19:23,0,f90c1db7893a4db,Phoenix,0,AZ ,0,1,0,0,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,SUV,0,0,1,0,0,1,Proceeding Straight,0,0,0,0,1,0,0,0,0,0,0,0,0,Proceeding Straight,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 7:23 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving an SUV on [XXX] at [XXX].
The Waymo AV was traveling north on [XXX] through the intersection with [XXX]. An SUV traveling West on [XXX] entered the intersection without stopping at the two-way stop sign on [XXX]. The Waymo AV slowed to a stop in the intersection and the front left corner of the SUV made contact with the front right corner of the Waymo AV. 
At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6337,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S10M1,0,Jaguar,I-Pace,2021.0,f6ce80fd458f116,63250.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,ADOT,1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,15:36,0,355de6e32e411be,Mesa,0,AZ ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Pickup Truck,0,0,1,0,0,1,Proceeding Straight,0,0,0,0,0,0,0,1,0,0,0,0,0,Parked,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 3:36 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Mesa, Arizona was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stationary adjacent to the curb on the West side of [XXX]. A pickup truck approached the Waymo from behind and slowed to a stop immediately behind the Waymo. The pickup truck then moved slowly forward until the front of the pickup truck was touching the rear of the Waymo AV. The pickup truck then slowly pushed into the rear of the Waymo AV for a few seconds before reversing, maneuvering around the Waymo AV, and leaving the scene. 
At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6336,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S15M1,0,Jaguar,I-Pace,2021.0,8ea0174dd0121de,47248.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,"CA DMV, CA PUC",1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,22:10,0,72e0aa76f6bd9ef,San Francisco,0,CA ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,SUV,1,0,0,0,0,1,Proceeding Straight,0,0,0,0,0,0,0,1,0,0,0,0,0,Stopped,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Yes,San Francisco Police Department, ,Yes,,Y,,Y,,Y,Yes, ,"On August [XXX], 2023 at 10:09 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX]. 
The Waymo AV was stopped at a red light on eastbound [XXX] at [XXX]. Shortly after the traffic light turned green and the Waymo AV began to proceed forward, the Waymo AV slowed to a stop. The SUV that was traveling closely behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the trailing SUV left the scene without exchanging information. A passenger in the Waymo AV reported injuries. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
30270-6335,1,Waymo LLC,0,0,0,1,0,8.0,2023.0,2023,9,SADHW2S16M1,0,Jaguar,I-Pace,2021.0,dd9c07aaa0d58c4,69522.0,0,0,0,0,1,5th Generation ADS,0,0,5th Generation,0,0,Version 8,0,0,,0,1,,0,1,1,ADOT,1,0,1,0,Waymo LLC,0,1,0,0,0,0,0,,2023,8,0,2023,8,19:12,0,27afc2a81db4aa8,Phoenix,0,AZ ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,25.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Passenger Car,0,0,1,0,0,1,Backing,0,0,0,0,0,1,0,0,1,0,0,0,0,Parked,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2023 at 7:12 PM PT a Waymo Autonomous Vehicle (""Waymo"") operating in Phoenix, Arizona was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stationary adjacent to the curb on the south side of [XXX]. A passenger car which had been parked in front of the Waymo AV began reversing and the rear of the passenger car made contact with the front of the Waymo AV. The passenger car then left the scene. At the time of the impact, the Waymo's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",
540-6318,1,"General Motors, LLC",0,0,0,1,0,8.0,2023.0,2023,9,5G21A6P01P4,0,Cruise,AV,2023.0,b1e924fbcdaf437,1588.0,0,0,0,1,0,,1,0,,1,0,,1,0,Cruise LLC,0,0,,0,1,1,CA,1,0,1,0,Cruise LLC,0,1,0,1,0,0,0,,2023,8,0,2023,9,04:53,0,f42a0de8300f52e,San Francisco,0,CA ,0,1,0,0,0,0,1,0,0,0,1,0,0,0,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,SUV,0,0,1,0,0,1,Proceeding Straight,0,0,0,0,0,0,0,0,0,0,1,0,0,Proceeding Straight,0,0,1,7.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,No,, ,Yes,, ,, ,, ,"Unknown, see Narrative", ,"On September 14, 2023, GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Second Amended Standing General Order 2021-01, dated April 5, 2023 (the ""Order"") General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-6282-1)",
