Year,Month,Make,Model,City,State,Hour,Rear Damage,Front Damage,Right Side Damage,Left Side Damage,Inside Damage,Lighting,Weather,Roadway Surface,Movement Preceding Collision
2023,8,Jaguar,I-Pace,Santa Monica,CA ,16.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,"Other, see Narrative"
2023,8,Jaguar,I-Pace,San Francisco,CA ,21.0,0,1,0,1,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Jaguar,I-Pace,San Francisco,CA ,17.0,0,0,0,1,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Jaguar,I-Pace,San Francisco,CA ,16.0,1,0,0,0,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Jaguar,I-Pace,San Francisco,CA ,13.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,Proceeding Straight
2023,8,Jaguar,I-Pace,San Francisco,CA ,18.0,0,0,0,0,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Jaguar,I-Pace,San Francisco,CA ,21.0,0,1,1,0,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,8,Jaguar,I-Pace,Los Angeles,CA ,19.0,0,1,0,0,0,Dawn / Dusk,Weather - Clear,Dry,Parking Maneuver
2023,8,Jaguar,I-Pace,Phoenix,AZ ,19.0,0,1,1,0,0,Dawn / Dusk,Weather - Clear,Dry,Proceeding Straight
2023,8,Jaguar,I-Pace,Mesa,AZ ,15.0,1,0,0,0,0,Daylight,Weather - Clear,Dry,Parked
2023,8,Jaguar,I-Pace,San Francisco,CA ,22.0,1,0,0,0,0,Dark - Lighted,Weather - Clear,Dry,Stopped
2023,8,Jaguar,I-Pace,Phoenix,AZ ,19.0,0,1,0,0,0,Daylight,Weather - Clear,Dry,Parked
2023,8,Cruise,AV,San Francisco,CA ,4.0,0,1,0,1,0,Dark - Lighted,Weather - Cloudy,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,8.0,0,1,1,0,0,Daylight,Weather - Cloudy,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,16.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,22.0,0,1,1,0,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,16.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,11.0,1,0,0,0,0,Daylight,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,Austin,TX ,0.0,1,0,0,1,0,Dark - Not Lighted,Weather - Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,10.0,0,1,1,0,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,23.0,1,0,0,1,0,Dark - Lighted,Weather - Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,22.0,0,1,1,0,0,Dark - Lighted,Weather - Cloudy,Dry,Stopped
2023,8,Cruise,AV,Austin,TX ,23.0,0,0,1,0,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,9.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,13.0,0,1,1,0,0,Daylight,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,16.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,Making Right Turn
2023,8,Cruise,AV,San Francisco,CA ,14.0,1,0,0,1,0,Daylight,Weather - Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,20.0,0,0,0,1,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,8,Mercedes-Benz,S 580 4Matic,Los Angeles,CA ,13.0,1,0,0,0,0,Daylight,Weather - Cloudy,Dry,Proceeding Straight
2023,9,Cruise,AV,Austin,TX ,2.0,0,0,0,1,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,0.0,0,0,0,1,0,Dark - Lighted,Weather - Cloudy,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,0.0,1,0,0,1,0,Dark - Lighted,Weather - Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA ,22.0,1,0,1,0,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,8,Cruise,AV,San Francisco,CA ,1.0,0,1,1,0,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
2023,9,Cruise,AV,Houston,TX ,21.0,1,0,1,1,0,Dark - Lighted,Weather - Clear,Dry,Proceeding Straight
