File ID,Vehicle 1 Manufacturer,Vehicle 1 Business Name,Vehicle 1 Year of Manufacturing,Vehicle 1 Make,Vehicle 1 Model,Location of Accident,City of Accident,County of Accident,State of Accident,ZIPCODE of Accident,Vehicle 1 was Moving,Vehicle 1 was Stopped in Traffic,Pedestrian Involved in Accident (w V1),Bicyclist involved in Accident (w V1),Any other involved entity (w V1),Number of Vehicles involved in Accident (w V1),Vehicle Damage,RB,LR1,LR2,LR3,RR1,RR2,RR3,LRP1,LRP2,LRP3,LRP4,RRP1,RRP2,RRP3,RRP4,FDS1,FDS2,FDS3,FDS4,FPS1,FPS2,FPS3,FPS4,LFC1,LFC2,LFC3,RFC1,RFC2,RFC3,FB,Vehicle 2 Model,Vehicle 2 Year of Manufacturing,Vehicle 2 was Moving,Vehicle 2 was Stopped in Traffic,Pedestrian Involved in Accident (w V2),Bicyclist involved in Accident (w V2),Any other involved entity (w V2),Number of Vehicles involved in Accident (w V2),Car Mode,Weather Vehicle 1,Weather Vehicle 2,Lighting Vehicle 1,Lighting Vehicle 2,Roadway Surface Vehicle 1,Roadway Surface Vehicle 2,Roadway Conditions Vehicle 1,Roadway Conditions Vehicle 2,Movement Preceding Collision Vehicle 1,Movement Preceding Collision Vehicle 2,Type of Collison Vehicle 1,Type of Collison Vehicle 2,Other Factors
zoox_052022.pdf,Zoox Inc. ,Zoox Inc. ,2016,Toyota,Highlander,Folsom St. near Essex St. ,San Francisco,San Francisco,CA,94105,N/A,/#20,N/A,N/A,Vehicle,2,Zoox Inc. ,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Honda Fit,2009,/#20,N/A,N/A,N/A,Vehicle,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Proceeding Straight,Rear End,Rear End,N/A
apple_122022.pdf,Apple Inc.,Apple Inc.,2016,Lexus,RX 450h,US 101N near Marine Pkwy Exit,Belmont,San Mateo,CA,94002,/#20,N/A,N/A,N/A,N/A,1,Apple Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Conventional Mode,Clear,Wind,Daylight,Dark w Non-functioning Street-lights,Dark,Slippery,Other,No unusual conditions,Proceeding Straight,Other,Hit Object,Other,None Apparent
waymo_012022-p.pdf,Waymo LLC,Waymo LLC,2021,Jaguar,I-Pace,Sunset Boulevard and Judah Street,San Francisco,San Francisco,CA,94122,/#20,N/A,N/A,N/A,N/A,2,Waymo LLC,/Yes,/Yes,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chevrolet,N/A,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Fog/Visibility,Fog/Visibility,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Slowing/Stopping,Proceeding Straight,Other,Rear End,N/A
apple_102022.pdf,Apple Inc.,Apple Inc.,2017,Lexus,RX 450h,US-101S Ramp & Lawrence Expressway,Sunnyvale,Santa Clara,CA,94085,N/A,/#20,N/A,N/A,N/A,2,Apple Inc.,/Yes,/Yes,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ford F-150,2015,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Slowing/Stopping,Making Right Turn,Rear End,Head-On,N/A
waymo_012022.pdf,Waymo LLC,Waymo LLC,2021,Jaguar,I-Pace,Polk Street at Sacramento Street,San Francisco,San Francisco,CA,94109,N/A,/#20,N/A,N/A,N/A,2,Waymo LLC,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nissan Rogue,2020,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Entrering Traffic,Other,Rear End,N/A
zoox_112022.pdf,"Zoox, Inc. dba Zoox Labs, Inc.",Zoox,2016,Toyota,Highlander,The Embarcadero and Washington Street  ,San Francisco,San Francisco,CA,94111,N/A,/#20,N/A,N/A,N/A,2,"Zoox, Inc. dba Zoox Labs, Inc.",/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VN,2021,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Proceeding Straight,Rear End,Head-On,Inattention
apollo_autonomous_driving_06292023.pdf,Apollo Autonomous Driving USA LLC,Apollo Autonomous Driving USA LLC,2020,Chrysler,Pacifica,Moraga St near 34th Ave,San Francisco,San Francisco,CA,94122,/#20,N/A,N/A,N/A,N/A,2,Apollo Autonomous Driving USA LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/#20,N/A,N/A,N/A,scooter,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Proceeding Straight,Side Swipe,Head-On,Runaway Vehicle
waymo_040523.pdf,Waymo LLC,Waymo LLC,2021,Jaguar,I-Pace,Potrero Avenue at 21st Street,San Francisco,San Francisco,CA,94110,N/A,/#20,N/A,N/A,N/A,2,Waymo LLC,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ford C-Max,N/A,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Slowing/Stopping,Other,Rear End,N/A
waymo_09032023.pdf,Waymo LLC,Waymo LLC,2021,Jaguar,I-Pace,East 8th Street and South Main Street,Los Angeles,Los Angeles,CA,90014,N/A,N/A,N/A,N/A,Parked,2,Waymo LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Honda Odyssey,2003,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Parking,Proceeding Straight,Other,Side Swipe,N/A
cruise_050123.pdf,Cruise LLC,Cruise,2022,Cruise,AV,36th Ave and Lincoln Way,San Francisco,San Francisco,CA,94122,/#20,N/A,N/A,N/A,N/A, 1,Cruise LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Conventional Mode,Clear,Wind,Dark w Street-lights,Dark w Non-functioning Street-lights,Dark,Slippery,No unusual conditions,No unusual conditions,Making Left Turn,Other,Head-On,Other,N/A
cruise_10062023.pdf,Cruise LLC,Cruise,2023,Cruise,AV,308 Scott St,San Francisco,San Francisco,CA,94117,N/A,/#20,N/A,N/A,N/A, 2,Cruise LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Metris,2018,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Backing,Broadside,Rear End,N/A
